"target" "subjectID" "experimentID" "rotation" "handedness" "trialID" "RT_LD" "Response_LD" "lexicality_LD" "orderIDLD" "accLD" "rtPrecLD" "accPrecLD" "lexicality" "base" "freqbase" "lengthtarget" "condition" "Old20base" "Old20target" "freqcluster" "cluster" "explInterp"
"amuletorio" "MB38" "LDF" "2" "D" "1088" 657 "word" "nonword" 25 0 601 1 "nonword" "amuleto" 2.428 10 "pseudoword" 1.95 3 4.19 "orio" 0.13903004634516
"ancale" "MC16" "LDF" "4" "D" "1255" 699 "nonword" "nonword" 28 1 942 1 "nonword" "anca" 2.525 6 "pseudoword" 1.05 1.7 5.596 "ale" -0.347092892238076
"ancale" "FC52" "LDF" "4" "D" "1255" 684 "nonword" "nonword" 73 1 1168 0 "nonword" "anca" 2.525 6 "pseudoword" 1.05 1.7 5.596 "ale" -0.347092892238076
"ancale" "GC46" "LDF" "4" "D" "1255" 726 "nonword" "nonword" 47 1 599 1 "nonword" "anca" 2.525 6 "pseudoword" 1.05 1.7 5.596 "ale" -0.347092892238076
"ancale" "ACV34" "LDF" "4" "S" "1255" 735 "nonword" "nonword" 46 1 745 1 "nonword" "anca" 2.525 6 "pseudoword" 1.05 1.7 5.596 "ale" -0.347092892238076
"ancale" "VB10" "LDF" "4" "D" "1255" 496 "nonword" "nonword" 25 1 670 1 "nonword" "anca" 2.525 6 "pseudoword" 1.05 1.7 5.596 "ale" -0.347092892238076
"ancale" "GP40" "LDF" "4" "D" "1255" 760 "nonword" "nonword" 32 1 761 1 "nonword" "anca" 2.525 6 "pseudoword" 1.05 1.7 5.596 "ale" -0.347092892238076
"ancale" "ADC28" "LDF" "4" "D" "1255" 524 "nonword" "nonword" 46 1 682 1 "nonword" "anca" 2.525 6 "pseudoword" 1.05 1.7 5.596 "ale" -0.347092892238076
"ancale" "LJ22" "LDF" "4" "D" "1255" 692 "nonword" "nonword" 73 1 734 0 "nonword" "anca" 2.525 6 "pseudoword" 1.05 1.7 5.596 "ale" -0.347092892238076
"ancale" "ADB4" "LDF" "4" "D" "1255" 947 "nonword" "nonword" 57 1 1232 1 "nonword" "anca" 2.525 6 "pseudoword" 1.05 1.7 5.596 "ale" -0.347092892238076
"anguria" "FLB20" "LDF" "2" "D" "3131" 536 "word" "word" 48 1 754 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "FC52" "LDF" "4" "D" "3287" 685 "word" "word" 48 1 1445 0 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "MC16" "LDF" "4" "D" "3287" 663 "word" "word" 57 1 1068 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "MP15" "LDF" "3" "D" "3209" 569 "word" "word" 69 1 744 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "GP40" "LDF" "4" "D" "3287" 622 "word" "word" 50 1 635 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "MC26" "LDF" "2" "D" "3131" 402 "word" "word" 66 1 618 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "GDL30" "LDF" "6" "D" "3443" 815 "word" "word" 69 1 861 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "SB35" "LDF" "5" "D" "3365" 918 "word" "word" 32 1 979 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "AR50" "LDF" "2" "D" "3131" 653 "word" "word" 48 1 767 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "DS31" "LDF" "1" "D" "3053" 544 "word" "word" 42 1 605 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
