"trial_ID" "prime" "target_lexicality" "target" "experimentID" "subjectID" "rotation" "handedness" "RT" "response" "orderID" "acc" "rtPrec" "accPrec" "relatedness" "stem" "cluster" "unrelated" "condition" "prime_lexicality" "microblock" "lengthprime" "lengthtarget" "old20target" "old20prime" "freqtarget" "freqprime" "freqcluster"
"100183" "furogno" "nonword" "eloe" "SL1_2" "VB30" "2" "D" 660 "nonword" 168 1 708 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "IM16" "2" "D" 550 "nonword" 267 1 467 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "NJ39" "1" "D" 664 "nonword" 283 1 775 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "FT31" "1" "D" 776 "nonword" 303 1 510 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "AM9" "1" "D" 972 "nonword" 113 1 682 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "ET21" "1" "D" 481 "word" 154 0 423 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "GS24" "2" "D" 535 "nonword" 308 1 473 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "ATA27" "1" "D" 649 "word" 53 0 518 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "FC4" "2" "D" 533 "nonword" 35 1 599 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "FB14" "2" "D" 608 "nonword" 17 1 575 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "GZ35" "1" "D" 594 "nonword" 40 1 619 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "GP45" "1" "D" 638 "nonword" 232 1 929 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "ADC8" "2" "D" 546 "nonword" 155 1 524 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "MR34" "2" "D" 550 "nonword" 166 1 567 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "FC19" "1" "D" 501 "nonword" 316 1 417 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "LA13" "1" "S" 563 "nonword" 106 1 691 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "EF2" "2" "D" 539 "nonword" 78 1 443 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "AG38" "2" "D" 832 "nonword" 310 1 597 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
