"prime" "trialID" "lexicality" "target" "cluster" "freqtarget" "stemunrelated" "unrelatedfreq" "lengthtarget" "lengthprime" "relatedness" "condition" "old20target" "old20prime" "stem" "freqcluster" "subjectID" "experimentID" "rotation" "handedness" "RT" "response" "orderID" "acc" "rtPrec" "accPrec" "morphInterference" "explInterp"
"albereffo" 13012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "related" "LF_orthog" 1 2.8 "alber" 1.88 "LC44" "MPF" 2 "D" 498 "nonword" 146 0 531 "1" NA NA
"albereffo" 13012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "related" "LF_orthog" 1 2.8 "alber" 1.88 "MC26" "MPF" 2 "D" 430 "word" 101 1 513 "1" NA NA
"albereffo" 13012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "related" "LF_orthog" 1 2.8 "alber" 1.88 "DC2" "MPF" 2 "D" 707 "word" 90 1 727 "1" NA NA
"albereffo" 13012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "related" "LF_orthog" 1 2.8 "alber" 1.88 "SDC32" "MPF" 2 "D" 946 "word" 79 1 692 "1" NA NA
"albereffo" 13012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "related" "LF_orthog" 1 2.8 "alber" 1.88 "AF8" "MPF" 2 "D" 471 "word" 44 1 523 "0" NA NA
"albereffo" 13012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "related" "LF_orthog" 1 2.8 "alber" 1.88 "FLB20" "MPF" 2 "D" 787 "word" 44 1 813 "1" NA NA
"albereffo" 13012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "related" "LF_orthog" 1 2.8 "alber" 1.88 "AR50" "MPF" 2 "D" 521 "word" 79 1 708 "1" NA NA
"albereffo" 13012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "related" "LF_orthog" 1 2.8 "alber" 1.88 "MB38" "MPF" 2 "D" 486 "word" 20 1 536 "1" NA NA
"alberonna" 12012 "word" "albero" "onna" 3.713 "accusa" 3.606 6 9 "related" "HF_orthog" 1 2.9 "alber" 4.759 "MVT19" "MPF" 1 "D" 692 "word" 79 1 838 "1" NA NA
"alberonna" 12012 "word" "albero" "onna" 3.713 "accusa" 3.606 6 9 "related" "HF_orthog" 1 2.9 "alber" 4.759 "EM13" "MPF" 1 "D" 559 "word" 73 1 795 "1" NA NA
"alberonna" 12012 "word" "albero" "onna" 3.713 "accusa" 3.606 6 9 "related" "HF_orthog" 1 2.9 "alber" 4.759 "EP37" "MPF" 1 "D" 684 "word" 90 1 1295 "1" NA NA
"alberonna" 12012 "word" "albero" "onna" 3.713 "accusa" 3.606 6 9 "related" "HF_orthog" 1 2.9 "alber" 4.759 "AC43" "MPF" 1 "D" 493 "word" 31 1 527 "0" NA NA
"alberonna" 12012 "word" "albero" "onna" 3.713 "accusa" 3.606 6 9 "related" "HF_orthog" 1 2.9 "alber" 4.759 "DS31" "MPF" 1 "D" 445 "word" 79 1 690 "1" NA NA
"alberonna" 12012 "word" "albero" "onna" 3.713 "accusa" 3.606 6 9 "related" "HF_orthog" 1 2.9 "alber" 4.759 "CF1" "MPF" 1 "D" 404 "word" 44 1 662 "1" NA NA
"alberonna" 12012 "word" "albero" "onna" 3.713 "accusa" 3.606 6 9 "related" "HF_orthog" 1 2.9 "alber" 4.759 "VA49" "MPF" 1 "D" 471 "word" 79 1 510 "1" NA NA
"alberonna" 12012 "word" "albero" "onna" 3.713 "accusa" 3.606 6 9 "related" "HF_orthog" 1 2.9 "alber" 4.759 "DM7" "MPF" 1 "D" 616 "word" 30 1 858 "1" NA NA
"alberonna" 12012 "word" "albero" "onna" 3.713 "accusa" 3.606 6 9 "related" "HF_orthog" 1 2.9 "alber" 4.759 "AG25" "MPF" 1 "D" 532 "word" 21 1 563 "1" NA NA
"alberonna" 12012 "word" "albero" "onna" 3.713 "accusa" 3.606 6 9 "related" "HF_orthog" 1 2.9 "alber" 4.759 "FD55" "MPF" 1 "D" 479 "word" 150 1 914 "1" NA NA
"alberoso" 11012 "word" "albero" "oso" 3.713 "accusa" 3.606 6 8 "related" "morphological" 1 2.3 "alber" 4.911 "GS36" "MPF" 6 "D" 861 "word" 151 1 456 "1" 0.0645104351436546 1.51880471283479
"alberoso" 11012 "word" "albero" "oso" 3.713 "accusa" 3.606 6 8 "related" "morphological" 1 2.3 "alber" 4.911 "CC6" "MPF" 6 "D" 518 "word" 30 1 586 "1" 0.0645104351436546 1.51880471283479
"alberoso" 11012 "word" "albero" "oso" 3.713 "accusa" 3.606 6 8 "related" "morphological" 1 2.3 "alber" 4.911 "GF54" "MPF" 6 "D" 399 "word" 104 1 485 "1" 0.0645104351436546 1.51880471283479
"alberoso" 11012 "word" "albero" "oso" 3.713 "accusa" 3.606 6 8 "related" "morphological" 1 2.3 "alber" 4.911 "AA18" "MPF" 6 "D" 502 "word" 58 1 694 "1" 0.0645104351436546 1.51880471283479
"alberoso" 11012 "word" "albero" "oso" 3.713 "accusa" 3.606 6 8 "related" "morphological" 1 2.3 "alber" 4.911 "MV48" "MPF" 6 "D" 720 "word" 44 1 668 "1" 0.0645104351436546 1.51880471283479
"alberoso" 11012 "word" "albero" "oso" 3.713 "accusa" 3.606 6 8 "related" "morphological" 1 2.3 "alber" 4.911 "ZF42" "MPF" 6 "D" 540 "word" 44 1 822 "1" 0.0645104351436546 1.51880471283479
"alberoso" 11012 "word" "albero" "oso" 3.713 "accusa" 3.606 6 8 "related" "morphological" 1 2.3 "alber" 4.911 "GDL30" "MPF" 6 "D" 881 "word" 148 1 915 "1" 0.0645104351436546 1.51880471283479
"alberoso" 11012 "word" "albero" "oso" 3.713 "accusa" 3.606 6 8 "related" "morphological" 1 2.3 "alber" 4.911 "RE24" "MPF" 6 "S" 865 "word" 73 1 700 "1" 0.0645104351436546 1.51880471283479
"alberoso" 11012 "word" "albero" "oso" 3.713 "accusa" 3.606 6 8 "related" "morphological" 1 2.3 "alber" 4.911 "SP12" "MPF" 6 "S" 444 "word" 62 1 614 "1" 0.0645104351436546 1.51880471283479
"alloggibete" 23030 "word" "caviglia" "bete" 2.9 "alloggio" 2.894 8 11 "unrelated" "LF_orthog" 1.95 3.5 "alloggi" 2.818 "SB35" "MPF" 5 "D" 640 "word" 127 1 562 "1" NA NA
"alloggibete" 23030 "word" "caviglia" "bete" 2.9 "alloggio" 2.894 8 11 "unrelated" "LF_orthog" 1.95 3.5 "alloggi" 2.818 "AB53" "MPF" 5 "D" 508 "word" 139 1 628 "0" NA NA
"alloggibete" 23030 "word" "caviglia" "bete" 2.9 "alloggio" 2.894 8 11 "unrelated" "LF_orthog" 1.95 3.5 "alloggi" 2.818 "SP17" "MPF" 5 "D" 751 "word" 127 1 839 "1" NA NA
"alloggibete" 23030 "word" "caviglia" "bete" 2.9 "alloggio" 2.894 8 11 "unrelated" "LF_orthog" 1.95 3.5 "alloggi" 2.818 "AC29" "MPF" 5 "D" 557 "word" 117 1 556 "1" NA NA
"alloggibete" 23030 "word" "caviglia" "bete" 2.9 "alloggio" 2.894 8 11 "unrelated" "LF_orthog" 1.95 3.5 "alloggi" 2.818 "MT11" "MPF" 5 "S" 694 "word" 173 1 713 "1" NA NA
"alloggibete" 23030 "word" "caviglia" "bete" 2.9 "alloggio" 2.894 8 11 "unrelated" "LF_orthog" 1.95 3.5 "alloggi" 2.818 "RS56" "MPF" 5 "D" 619 "word" 139 1 598 "1" NA NA
"alloggibete" 23030 "word" "caviglia" "bete" 2.9 "alloggio" 2.894 8 11 "unrelated" "LF_orthog" 1.95 3.5 "alloggi" 2.818 "MN5" "MPF" 5 "S" 599 "word" 163 1 658 "1" NA NA
"alloggibete" 23030 "word" "caviglia" "bete" 2.9 "alloggio" 2.894 8 11 "unrelated" "LF_orthog" 1.95 3.5 "alloggi" 2.818 "SE23" "MPF" 5 "D" 692 "word" 127 1 0 "0" NA NA
